lat,lon,psi
42.263, -89.076, 0
42.123, -88.895, 0
41.983, -88.715, 0
41.843, -88.536, 0
41.702, -88.358, 0
41.562, -88.182, 0
41.421, -88.006, 0
41.28, -87.832, 0
41.138, -87.659, 0
40.997, -87.487, 0
40.855, -87.316, 0
40.713, -87.146, 0
40.57, -86.978, 0
40.428, -86.81, 0
40.285, -86.644, 0
40.142, -86.479, 0
39.999, -86.314, 0
39.855, -86.151, 0
39.712, -85.989, 0
39.568, -85.828, 0
39.424, -85.668, 0
39.28, -85.509, 0
39.136, -85.351, 0
38.991, -85.194, 0
38.847, -85.038, 0
38.702, -84.883, 0
38.557, -84.729, 0
38.412, -84.576, 0
38.266, -84.424, 0
38.121, -84.273, 0
37.976, -84.123, 0
37.83, -83.974, 0
37.684, -83.825, 0
37.538, -83.678, 0
37.392, -83.532, 0
37.246, -83.387, 0
37.1, -83.242, 0
36.954, -83.099, 0
36.807, -82.956, 0
36.66, -82.814, 0
36.514, -82.674, 0
36.367, -82.534, 0
36.22, -82.395, 0
36.073, -82.257, 0
35.926, -82.119, 0
35.779, -81.983, 0
35.632, -81.847, 0
35.485, -81.713, 0
35.338, -81.579, 0
35.19, -81.446, 0
35.043, -81.314, 0
34.895, -81.182, 0
34.748, -81.052, 0
34.6, -80.922, 0
34.453, -80.793, 0
34.305, -80.665, 0
34.157, -80.538, 0
31.296, 167.98, 0
31.444, 168.09, 0
31.592, 168.2, 0
31.741, 168.32, 0
31.889, 168.43, 0
32.037, 168.55, 0
32.186, 168.66, 0
32.334, 168.78, 0
32.483, 168.89, 0
32.631, 169.01, 0
32.779, 169.13, 0
32.928, 169.25, 0
33.076, 169.37, 0
33.224, 169.49, 0
33.373, 169.61, 0
33.521, 169.74, 0
33.669, 169.86, 0
33.818, 169.98, 0
33.966, 170.11, 0
34.114, 170.23, 0
34.262, 170.36, 0
34.411, 170.49, 0
34.559, 170.61, 0
34.707, 170.74, 0
34.855, 170.87, 0
35.003, 171, 0
35.151, 171.13, 0
35.299, 171.27, 0
35.447, 171.4, 0
35.594, 171.53, 0
35.742, 171.67, 0
35.89, 171.8, 0
36.037, 171.94, 0
36.185, 172.08, 0
36.332, 172.21, 0
36.48, 172.35, 0
36.627, 172.49, 0
36.774, 172.63, 0
36.921, 172.77, 0
37.068, 172.92, 0
37.215, 173.06, 0
37.362, 173.2, 0
37.508, 173.35, 0
37.655, 173.49, 0
37.801, 173.64, 0
37.948, 173.79, 0
38.094, 173.94, 0
38.24, 174.09, 0
38.386, 174.24, 0
38.532, 174.39, 0
38.677, 174.54, 0
38.823, 174.7, 0
38.968, 174.85, 0
39.113, 175.01, 0
39.258, 175.16, 0
39.403, 175.32, 0
39.548, 175.48, 0
39.692, 175.64, 0
39.836, 175.8, 0
39.981, 175.96, 0
40.124, 176.13, 0
40.268, 176.29, 0
40.412, 176.46, 0
40.555, 176.62, 0
40.698, 176.79, 0
40.841, 176.96, 0
40.984, 177.13, 0
41.126, 177.3, 0
41.268, 177.47, 0
41.41, 177.64, 0
41.552, 177.82, 0
41.694, 177.99, 0
41.835, 178.17, 0
41.976, 178.35, 0
42.117, 178.53, 0
42.257, 178.71, 0
42.397, 178.89, 0
42.537, 179.07, 0
42.677, 179.25, 0
42.816, 179.44, 0
42.955, 179.62, 0
43.094, 179.81, 0
43.232, -180, 0
43.371, -179.81, 0
43.508, -179.62, 0
43.646, -179.43, 0
43.783, -179.23, 0
43.92, -179.04, 0
44.056, -178.84, 0
44.192, -178.65, 0
44.328, -178.45, 0
44.463, -178.25, 0
44.598, -178.05, 0
44.733, -177.84, 0
44.867, -177.64, 0
45.001, -177.43, 0
45.134, -177.23, 0
45.267, -177.02, 0
45.4, -176.81, 0
45.532, -176.6, 0
45.664, -176.39, 0
45.795, -176.17, 0
45.926, -175.96, 0
46.056, -175.74, 0
46.186, -175.52, 0
46.316, -175.3, 0
46.445, -175.08, 0
46.574, -174.86, 0
46.702, -174.64, 0
46.829, -174.41, 0
46.956, -174.19, 0
47.083, -173.96, 0
47.209, -173.73, 0
47.334, -173.5, 0
47.459, -173.27, 0
47.584, -173.03, 0
47.708, -172.8, 0
47.831, -172.56, 0
47.954, -172.32, 0
48.076, -172.08, 0
48.198, -171.84, 0
48.319, -171.6, 0
48.439, -171.35, 0
48.559, -171.11, 0
48.678, -170.86, 0
48.797, -170.61, 0
48.915, -170.36, 0
49.032, -170.11, 0
49.149, -169.85, 0
49.265, -169.6, 0
49.38, -169.34, 0
49.495, -169.08, 0
49.609, -168.82, 0
49.722, -168.56, 0
49.835, -168.3, 0
49.946, -168.03, 0
50.058, -167.76, 0
50.168, -167.5, 0
50.278, -167.23, 0
50.387, -166.95, 0
50.495, -166.68, 0
50.602, -166.41, 0
50.709, -166.13, 0
50.815, -165.85, 0
50.92, -165.57, 0
51.024, -165.29, 0
51.128, -165.01, 0
51.23, -164.72, 0
51.332, -164.44, 0
51.433, -164.15, 0
51.533, -163.86, 0
51.633, -163.57, 0
51.731, -163.28, 0
51.829, -162.98, 0
51.925, -162.69, 0
52.021, -162.39, 0
52.116, -162.09, 0
52.21, -161.79, 0
52.303, -161.49, 0
52.395, -161.19, 0
52.486, -160.88, 0
52.576, -160.57, 0
52.665, -160.26, 0
52.754, -159.95, 0
52.841, -159.64, 0
52.927, -159.33, 0
53.013, -159.02, 0
53.097, -158.7, 0
53.18, -158.38, 0
53.262, -158.06, 0
53.344, -157.74, 0
53.424, -157.42, 0
53.503, -157.09, 0
53.581, -156.77, 0
53.658, -156.44, 0
53.734, -156.11, 0
53.809, -155.78, 0
53.882, -155.45, 0
53.955, -155.12, 0
54.026, -154.79, 0
54.097, -154.45, 0
54.166, -154.11, 0
54.234, -153.77, 0
54.301, -153.43, 0
54.367, -153.09, 0
54.431, -152.75, 0
54.495, -152.41, 0
54.557, -152.06, 0
54.618, -151.72, 0
54.678, -151.37, 0
54.737, -151.02, 0
54.794, -150.67, 0
54.85, -150.32, 0
54.905, -149.97, 0
54.959, -149.61, 0
55.012, -149.26, 0
55.063, -148.9, 0
55.113, -148.55, 0
55.161, -148.19, 0
